18:25:51.605 > Hello from received
18:25:51.961 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.963 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.967 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.969 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.971 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.973 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.977 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.979 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.981 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.983 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.986 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.989 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.991 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.994 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.996 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:51.999 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.001 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.004 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.006 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.009 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.013 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.014 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.016 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.019 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.022 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.024 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.026 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.028 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.032 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.034 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.036 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.039 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.042 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.044 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.046 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.049 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.052 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.054 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.056 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.059 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.062 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.064 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.067 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.069 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.072 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.075 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.077 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.079 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.081 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.085 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.087 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.089 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.091 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.095 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.097 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.099 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.102 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.105 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.107 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.109 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.112 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.115 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.117 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.119 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.122 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.124 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.127 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.130 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.132 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.134 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.137 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.140 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.142 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.144 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.148 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.150 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.152 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.154 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.158 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.160 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.162 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.164 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.168 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.170 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.172 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.175 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.178 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.180 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.182 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.185 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.187 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.190 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.193 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.195 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.197 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.200 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.203 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.205 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.207 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.211 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.213 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.215 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.217 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.221 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.223 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.225 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.227 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.230 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.233 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.235 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.238 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.240 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.243 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.245 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.248 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.250 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.253 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.256 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.258 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.260 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.263 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.266 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.268 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.270 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.274 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.276 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.278 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.280 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.283 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.286 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.288 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.290 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.293 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.296 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.298 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.301 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.303 > X1 :0	 X2 :0	 Y :0	 Z:0
18:25:52.306 > X1 :0	 X2 :0	 Y :0	 Z:0
